date,hour,forecast_base,forecast_hour,temp_media,temp_max,temp_min,umid_mediana,umid_max,umid_min,precipitacao_total,dia_semana_num,day_of_year,mes,trimestre,feriado,Chuva_aberta,loja_id
2025-10-21,3,2025-10-17T06:00:00,93,11.842270851135254,13.169769287109377,10.45977783203125,88.0,97.0999984741211,79.80000305175781,0.0,1,294,10,4,0,0.0,1
2025-10-21,4,2025-10-17T06:00:00,94,11.434447288513184,12.62652587890625,10.1865234375,88.14999389648438,97.0999984741211,78.4000015258789,0.0,1,294,10,4,0,0.0,1
2025-10-21,5,2025-10-17T06:00:00,95,11.139915466308594,12.0782470703125,9.928253173828123,88.5,97.0999984741211,80.30000305175781,0.0,1,294,10,4,0,0.0,1
2025-10-21,6,2025-10-17T06:00:00,96,10.731857299804688,12.133514404296877,9.42352294921875,90.1999969482422,97.5,79.5,0.0,1,294,10,4,0,0.0,1
2025-10-21,7,2025-10-17T06:00:00,97,10.321688652038574,11.76544189453125,9.075439453125,91.25,97.5999984741211,78.0999984741211,0.0,1,294,10,4,0,0.0,1
2025-10-21,8,2025-10-17T06:00:00,98,9.977940559387209,11.33251953125,8.7225341796875,90.39999389648438,98.0,78.0,0.0,1,294,10,4,0,0.0,1
2025-10-21,9,2025-10-17T06:00:00,99,9.686490058898926,11.05023193359375,8.43023681640625,91.3000030517578,98.20000457763672,79.20000457763672,0.0,1,294,10,4,0,0.0,1
2025-10-21,10,2025-10-17T06:00:00,100,11.085610389709473,12.355621337890623,9.74560546875,87.55000305175781,92.40000915527344,79.20000457763672,0.0,1,294,10,4,0,0.0,1
2025-10-21,11,2025-10-17T06:00:00,101,13.527865409851074,15.174957275390623,11.854949951171877,78.30000305175781,83.30000305175781,68.80000305175781,0.0,1,294,10,4,0,0.0,1
2025-10-21,12,2025-10-17T06:00:00,102,15.65442943572998,17.242767333984375,13.832763671875,68.85000610351562,75.69999694824219,60.70000076293945,0.0,1,294,10,4,0,0.0,1
2025-10-21,13,2025-10-17T06:00:00,103,17.587244033813477,19.176422119140625,15.596405029296877,61.900001525878906,70.9000015258789,54.29999923706055,0.0,1,294,10,4,0,0.0,1
2025-10-21,14,2025-10-17T06:00:00,104,19.228233337402344,20.985321044921875,17.285308837890625,57.29999923706055,67.0,49.20000076293945,0.0,1,294,10,4,0,0.0,1
2025-10-21,15,2025-10-17T06:00:00,105,20.581920623779297,22.478179931640625,18.588165283203125,54.45000457763672,64.10000610351562,45.10000228881836,0.0,1,294,10,4,0,0.0,1
2025-10-21,16,2025-10-17T06:00:00,106,21.65495109558105,23.669952392578125,19.59994506835937,52.34999847412109,62.400001525878906,42.29999923706055,0.0,1,294,10,4,0,0.0,1
2025-10-21,17,2025-10-17T06:00:00,107,22.37482643127441,24.50814819335937,20.30816650390625,51.95000076293945,61.5,41.29999923706055,0.0,1,294,10,4,0,0.0,1
2025-10-21,18,2025-10-17T06:00:00,108,22.686805725097656,24.75347900390625,20.653472900390625,52.0,61.0,42.0,0.0,1,294,10,4,0,0.0,1
2025-10-21,19,2025-10-17T06:00:00,109,22.65672874450684,24.74838256835937,20.648406982421875,54.900001525878906,65.4000015258789,46.5,0.0,1,294,10,4,0,0.0,1
2025-10-21,20,2025-10-17T06:00:00,110,21.88150978088379,23.770263671875,20.07025146484375,63.0,70.19999694824219,54.400001525878906,0.0,1,294,10,4,0,0.0,1
2025-10-21,21,2025-10-17T06:00:00,111,19.70558738708496,21.249755859375,18.29974365234375,72.05000305175781,79.0,67.0,0.0,1,294,10,4,0,0.0,1
